Nivel;Vazao;Precp1;Precp2;Precp3;Precp4;Precp5;Precp6;Precp7;Precp8;Precp9;Precp10;Precp11;Evap1;Evap2;Evap3;Evap4;Evap5;Evap6;Evap7;Evap8;Evap9;Evap10;Evap11;rnof1;rnof2;rnof3;rnof4;rnof5;rnof6;rnof7;rnof8;rnof9;rnof10;rnof11;Temp1;Temp2;Temp3;Temp4;Temp5;Temp6;Temp7;Temp8;Temp9;Temp10;Temp11
560,19;854;636,0393198;442,3067107;64,23127937;51,06820774;132,1535969;112,1997929;304,602335;360,2532632;5899,06066;6795,616238;130,0419555;395,4737766;441,9335393;61,62779522;48,18654346;119,5768142;105,2875009;103,2072625;206,4220576;2455,929005;5301,697795;157,3849435;-277,3745153;-602,1586559;0,144608971;0,128168724;0,127336868;0,11754791;-453,8195952;-243,3729717;1,436950509;0,890432473;0,08425239;27,30734804;26,78647439;27,87566121;27,69041612;27,50058677;27,31691862;28,99565818;28,28966839;25,13607027;24,74670632;27,09087699
560,28;1128;841,3054924;451,9694736;109,3250489;88,89689112;204,7152138;150,3915257;440,7764854;735,1644468;6852,686858;8624,387424;143,9365149;424,9816213;459,0559744;64,25414562;49,65546703;122,1387353;105,7484684;118,1320662;227,8658748;2438,000443;5018,432132;158,3293457;-277,0436242;-602,1523477;0,41131374;0,434804804;0,381766432;0,236443799;-453,4545165;-242,7914687;1,598666409;1,197307714;0,119990439;26,31464005;25,78630967;27,33680979;27,03255208;26,8453272;26,5665219;28,02969777;27,40142525;24,07939329;23,87161545;26,21306283
560,35;1021;1096,93277;1065,055108;192,8884306;137,6856499;302,5014944;221,7264233;286,4115248;675,4108763;6784,273355;13597,83417;300,6529255;366,8656797;406,5756373;58,18586874;45,42359829;112,9087381;98,58477068;102,5763731;200,1755002;2173,002342;4910,382918;143,8797092;-277,1742974;-601,8856432;0,553689281;0,49999391;0,439969328;0,333787581;-454,0004796;-243,0340368;1,821960494;2,375448597;0,355901729;25,1958758;24,97533738;26,03653971;25,81697252;25,7188041;25,57315545;27,13664662;26,4563941;23,77012346;23,4150908;25,35995919
560,47;1307;974,0747893;953,406991;120,8989153;93,29792023;207,8986921;190,4446325;143,7908621;238,6218479;4038,769095;16306,881;289,9763899;373,8442788;401,654564;62,50048208;47,74130297;116,3803186;99,91283178;105,2017614;206,7500904;2205,530965;4545,752139;143,2137337;-277,1253626;-601,846911;0,271425831;0,286255366;0,234165276;0,259995102;-454,3644263;-243,7648582;0,928477837;2,674895463;0,368836486;26,40967687;25,90022002;27,1436793;27,03588528;27,00307811;26,87683427;27,93590199;27,41341791;24,75497536;24,18109144;26,5640989
560,62;1481;325,756412;391,8402792;5,079896633;9,873307452;29,92113109;32,57323337;149,9625693;151,5542605;2180,757119;4534,281918;43,17004476;390,1344234;416,3087378;60,48126602;46,77709055;115,916039;102,1224585;109,6815031;211,3645446;2531,537752;5172,397349;146,6418495;-277,6178613;-602,2178553;0,001337391;0,005416362;0,009123329;0,010116784;-454,195044;-243,6879826;0,494812636;0,409988921;0,012458378;26,6355612;26,51203974;27,90618134;27,73765734;27,57662409;27,38760858;28,58978826;28,01610956;25,50726788;24,89725698;27,15455518
560,78;1555;838,8755288;724,1549916;140,5054531;96,87862778;193,8007226;140,000422;182,0613737;339,33954;2516,308378;5714,821493;186,4592209;447,0171282;497,5203142;66,30809975;51,41308546;125,8600516;110,2364407;118,6210364;228,1946545;2579,951677;5704,639428;164,8330193;-276,9656449;-601,7183891;0,672143462;0,691823343;0,637926939;0,578879836;-454,2702246;-243,4883994;0,520891229;1,064407193;0,634220434;27,29909219;27,08871791;28,32674154;28,18389893;28,03395635;27,91391152;28,9533622;28,29932459;26,00542836;25,48051376;27,71465411
560,9;1323;56,63917313;61,86673174;0,130808994;1,353578538;9,463965788;18,53001723;57,89196129;100,1317969;578,7751544;1530,946428;48,63142931;451,2760369;508,6493325;68,38920355;53,2381444;131,398489;116,4949746;123,3476901;236,8976283;2870,610944;6356,580314;178,4387093;-277,713832;-602,318128;2,05E-05;0,000490648;0,002319563;0,008841763;-454,4228151;-243,7784047;0,094049394;0,161666705;0,050357474;27,41302702;27,17683613;28,90353648;28,70173136;28,52807478;28,24125109;28,894731;28,53546143;26,64496959;25,82771371;27,75773621
561,03;1322;253,6901221;398,5459168;16,17885661;16,9805398;59,58325779;78,01603317;44,81675202;203,9012014;2376,024524;2743,637368;197,1430569;422,7342632;486,0319629;64,67824793;50,13066959;124,712954;111,0342636;117,3365326;233,0058095;2821,057963;5987,707205;172,1038356;-277,5150973;-601,9935257;0,006368251;0,012328794;0,037273546;0,106975361;-454,4484852;-243,5919214;0,541724414;0,208176452;0,403820189;25,72411813;25,31260736;26,54107412;26,31318834;26,15932395;25,93470041;27,38343256;26,74688274;24,41846905;23,6597105;25,63565172
561,15;1259;414,6683807;700,346575;46,83553672;41,4535079;99,45689106;85,75565124;127,3913076;210,5974387;3938,403914;8113,583401;154,8565857;349,9195578;393,4120908;59,97982168;46,09578848;112,5005956;97,20226192;104,8318086;210,3496451;2395,090379;4487,719173;143,3743877;-277,5958224;-601,9551776;0,044895146;0,063090382;0,064471357;0,056125151;-454,3015925;-243,689476;0,610560952;0,650963866;0,09630429;24,80783039;24,31221652;25,5371755;25,40649075;25,35045138;25,14473684;26,4266191;25,870962;22,86899316;22,79389599;24,77893502
561,25;1137;1017,373182;1001,221576;97,69087887;96,66398907;279,6797261;323,7437906;231,7872286;390,8740449;4154,02174;7009,31225;526,4349585;396,8473186;432,6472061;63,4432435;49,03570318;121,2899175;106,9662051;109,026396;219,6353121;2033,695041;4985,403653;157,4717093;-276,9653412;-601,5132696;0,244370818;0,447947654;0,654747895;1,04511378;-454,2294155;-243,5974649;0,476452604;0,451719206;1,422068766;24,34143194;23,87577029;25,38702393;25,18905301;25,08981739;24,81103034;26,14242554;25,56781155;22,20544853;22,04941148;24,36221313
561,31;947;647,69034;857,9006219;80,82805967;74,97922182;199,8903837;214,6684504;179,220787;451,6048172;7080,604977;19033,78938;334,8861551;322,6149616;364,198637;55,77674723;42,23745394;102,0347438;87,45081902;100,7754829;202,2824852;2048,702695;4528,190858;128,6653919;-277,5026382;-601,9868036;0,087419309;0,141086479;0,170665618;0,245169243;-454,3391119;-243,5758619;1,466995975;2,566900789;0,310211417;23,92201445;23,40862596;24,78346252;24,47715251;24,22163252;23,84615125;25,74302673;25,0553172;21,91333179;21,73661202;23,55082921
561,37;911;1149,609236;1381,03242;144,5608196;144,3379927;418,7795439;355,8842278;281,7847142;611,7889709;15890,91702;32035,32789;548,9697905;328,7480192;356,4230278;55,99360371;42,65051937;104,0882683;88,3862462;104,0991096;202,8511033;1968,579967;3800,040006;124,5015502;-277,0626768;-601,4011143;0,336098487;0,533576816;0,692432566;0,70179097;-454,0206484;-243,1959786;7,279481047;7,179273993;0,921395728;23,85179096;23,79479429;24,78336589;24,55986192;24,43974165;24,26174927;25,35340604;24,95940716;22,30752556;22,07777978;24,08245632
561,42;877;1413,183452;1905,994009;212,5801401;190,9228992;483,271244;408,5809803;192,7924457;440,6625614;14302,28747;33003,01949;586,1714401;354,4548404;404,3272376;57,10562134;43,6832695;106,8625231;91,10733032;101,4211237;202,7838197;1861,572225;4046,824317;133,9512186;-276,6736971;-600,5910491;0,705362521;0,954826587;1,01060925;0,979348035;-454,2968423;-243,495262;7,465863631;8,898681247;1,122724701;23,807056;23,68692348;24,8370107;24,62074449;24,51981562;24,35056827;25,55532005;25,00574624;22,43252777;22,30258117;24,02406093
561,46;835;1154,934019;1226,385839;349,4926147;208,5861278;400,7785873;229,7085614;501,2247524;1228,96752;10744,49835;16816,64331;335,9813142;331,6899614;375,8632982;54,51126862;42,35196495;104,9135222;92,03750372;96,36091995;186,4080579;1801,519137;4088,109237;135,1169729;-276,8721051;-601,7089015;1,617466693;1,187976172;0,897609115;0,487411505;-453,2836084;-241,6938584;4,240257721;3,29849732;0,522060829;23,90002187;23,59583696;24,69577281;24,42749023;24,28672236;24,08675505;25,46821594;24,91894829;22,08491541;22,00624018;23,80957903
561,5;831;521,6910679;485,2486575;70,18017316;63,6762085;160,073576;146,8475966;127,442462;226,6204426;4057,068686;5364,498219;242,1995568;316,4303355;356,8948909;51,33560848;38,16164255;92,11587286;79,59779882;97,45828152;183,4411156;1888,934801;4372,475459;115,9535179;-277,5970645;-602,2116534;0,072732865;0,10893845;0,126363363;0,158077611;-454,4225278;-243,7829563;0,845748315;0,386141105;0,260839568;23,96228197;23,58525288;24,76358032;24,49514431;24,37711265;24,16435483;26,25437511;25,50985792;22,65149851;22,12434931;23,8655559
561,51;640;759,663551;700,8419681;142,1506591;80,49936819;141,1372218;118,432812;46,4196863;273,4879814;3808,778731;8962,559897;182,0084624;365,5511918;393,5415864;62,35395193;46,40701437;111,3802214;94,82742691;120,9621127;235,8324034;2271,540941;4592,924354;140,5789685;-277,3592941;-602,1200733;0,384958635;0,225128594;0,093578572;0,094099352;-454,4695453;-243,676898;0,903316019;1,235205925;0,129578251;25,15582996;24,88674375;26,02269491;25,93930732;25,8932079;25,74030826;27,33211032;26,53858092;23,73375007;23,50233007;25,48911939
561,52;629;963,2513249;963,8258724;143,1207428;96,59725285;183,8619633;154,1733513;76,62555265;316,6140702;4442,988959;17098,25537;267,144583;400,9262557;426,0846786;67,92063665;50,60627937;120,3797727;103,2703667;125,2371275;251,9822259;2371,070071;4602,726632;152,7306485;-276,9614822;-601,7386942;0,680157356;0,570008503;0,385753673;0,349308676;-454,3884241;-243,3180216;1,501358617;3,784039582;0,465481581;25,03869078;24,68786033;25,91911316;25,74551053;25,64922957;25,45658473;27,03333629;26,23319375;23,8165577;23,40727229;25,16156006
561,53;636;286,123862;565,3114644;14,20880729;9,069195442;18,55516982;20,16652913;0,422847532;24,47968924;3509,775437;10607,49858;62,02489311;355,2544945;389,1778309;57,12933111;42,07904911;99,43274879;86,77416945;93,26309323;193,9695439;2125,634305;4612,371826;135,714797;-277,5260795;-601,8174498;0,012707426;0,01906341;0,018880813;0,026338712;-454,499968;-243,8725753;1,748674045;2,988418114;0,093868909;25,13894823;24,68780922;25,77473195;25,63621691;25,60226718;25,50363641;26,8520272;26,01506973;23,38063188;23,02091978;25,26946259
561,53;566;30,51182584;396,7500709;0;0;0;0,007121881;0;0;911,3022938;6873,345573;8,610016078;390,9120603;442,929909;57,17263651;43,43491745;109,145165;98,46500826;93,93819666;191,3205321;2168,700693;5036,54014;155,0078444;-277,7314986;-601,9906579;9,70E-10;0;0;4,16E-06;-454,5;-243,8780488;0,09632952;0,831820996;0,008054344;25,13396962;24,63847259;25,79800669;25,63565063;25,51075467;25,33380769;26,71953652;25,96685865;23,21056546;23,0352149;25,02189527
561,53;573;146,1613295;340,0316661;1,207568589;4,19195414;14,90520561;28,27067304;1,916262105;21,55984987;3557,133445;7546,341534;80,16197348;335,682512;363,9615978;52,91922808;40,78439617;99,67605877;86,44072104;79,36597514;162,5965464;1964,43171;4180,913491;127,343833;-277,6779772;-602,104086;0,000350436;0,003155539;0,006365327;0,012804699;-454,499433;-243,8748233;1,020830842;0,987218267;0,055207661;25,71140459;25,23387238;26,43755341;26,23083835;26,12014771;25,8796981;27,75111805;26,9261817;23,78493836;23,52445454;25,58032118
561,55;700;234,3090723;414,6411549;36,45359111;23,54666269;53,34615874;50,63024008;56,74548119;93,02940392;3406,669446;10274,48135;92,68927407;394,948194;421,9337622;64,68866444;48,87804937;117,0870652;101,5191116;112,0720826;234,1906664;2332,619451;4752,869131;152,0864744;-277,6774951;-602,1861521;0,033152624;0,019070548;0,016364594;0,024239623;-454,4560258;-243,8273061;0,982861163;1,77548634;0,045607345;26,58668306;26,23122948;27,24064128;27,11160956;27,09318542;26,89957629;28,42449812;27,73683725;24,74874444;24,56711374;26,5907996
561,52;380;311,4021703;365,9031379;60,88034606;52,77357101;142,799171;145,2098479;59,88079119;221,8991882;5920,688396;10544,25035;221,9908705;396,6402221;440,3556674;64,16744661;48,525774;117,6513524;101,9622455;104,2135108;218,2596824;2284,851789;4972,779461;152,0493846;-277,6127938;-602,2310935;0,116227347;0,142738611;0,181727442;0,253335889;-454,431229;-243,4748762;2,084826936;2,012804126;0,304557245;26,465836;26,11184656;27,17273712;27,03386434;26,99418918;26,87632671;28,22598544;27,61078774;25,16705664;24,93103122;26,6755382
561,5;436;513,0637647;1069,2423;66,3674252;57,45802402;164,6559176;160,0449023;73,29527682;170,3037266;6989,251801;19551,55826;260,787715;349,8138392;394,2383329;55,70998001;43,10205269;105,4696646;91,99523211;90,423311;182,5869391;2208,309614;4739,725002;139,771348;-277,4492027;-601,2232297;0,128948311;0,161447458;0,213101933;0,266863633;-454,4351808;-243,7912863;3,215858556;4,361631532;0,425632454;26,40170203;26,07158063;27,29186503;27,17030843;27,0633642;26,88811774;28,35124207;27,74382056;25,12160657;24,63802833;26,57084329
561,49;514;515,4138947;779,0427612;103,999867;91,60416937;231,006053;194,1125803;47,36750907;69,90585279;6905,813094;15448,34906;265,5019808;341,2121863;393,6188616;55,44950485;43,52912712;108,473021;95,20042944;88,45874929;185,8953614;2369,472802;4992,922781;142,8180547;-277,4007559;-601,7646431;0,355139967;0,434345228;0,460390623;0,455611432;-454,451952;-243,8419785;3,017501936;3,743925922;0,484555154;26,43282869;26,27350221;27,33476257;27,21901109;27,17442877;27,08088925;28,1639224;27,67299075;25,15543157;24,73879473;26,8273468
561,46;396;296,5101993;273,0791421;38,53539348;20,20739246;26,48555412;6,31803064;240,8022966;358,1906219;2711,151823;7415,553843;2,61706195;408,1228553;487,3387899;64,36961412;49,66361761;120,9268932;104,45362;105,2362726;214,7389731;2561,91607;5790,837308;160,1811004;-277,4832168;-602,056495;0,163164358;0,101828824;0,05249625;0,010500295;-453,8765631;-243,2653241;1,055406867;1,987547499;0,004880913;26,84300868;26,55863272;28,00781504;27,85305786;27,82960788;27,65051751;28,46174344;28,08302195;25,23905436;24,62830817;27,29439981
561,45;525;436,8961227;526,8863909;55,2722106;44,62590265;108,4142385;112,0761411;177,3449688;193,4022541;4902,727273;10487,21616;210,4236698;360,8146558;415,1378908;62,59663486;48,75093412;120,351387;104,0655823;111,4609525;222,4714108;2161,411645;4586,742563;151,7292581;-277,53569;-602,0907172;0,124177314;0,12408167;0,120866451;0,138961515;-454,1891673;-243,662451;1,669423358;2,051092252;0,236390885;26,02700127;25,81599886;26,60246023;26,39964464;26,31166632;26,2074087;27,71354537;27,22667489;25,03476422;24,70090502;26,03785379
561,43;444;934,602406;1184,762593;122,1968589;101,3279285;250,7449408;201,7186899;155,292973;321,8097134;10014,40517;21130,00554;341,4754333;379,5611898;423,9113551;61,4131813;47,43560028;116,1786857;101,0277343;99,30877984;195,5490125;2229,721508;5030,910289;152,4671392;-277,1285456;-601,5038722;0,296895547;0,373762377;0,387780722;0,351293604;-454,326468;-243,5986535;5,293983037;5,993498875;0,488437966;26,29420344;25,90234596;27,33783976;27,1367391;26,99892495;26,7954487;28,35509699;27,75677193;25,10497122;24,52592486;26,39026533
