"Data","Reservatório","Nivel"
"1/1/1999 ","TRÊS MARIAS",560.19
"1/2/1999 ","TRÊS MARIAS",560.28
"1/3/1999 ","TRÊS MARIAS",560.35
"1/4/1999 ","TRÊS MARIAS",560.47
"1/5/1999 ","TRÊS MARIAS",560.62
"1/6/1999 ","TRÊS MARIAS",560.78
"1/7/1999 ","TRÊS MARIAS",560.9
"1/8/1999 ","TRÊS MARIAS",561.03
"1/9/1999 ","TRÊS MARIAS",561.15
"1/10/1999 ","TRÊS MARIAS",561.25
"1/11/1999 ","TRÊS MARIAS",561.31
"1/12/1999 ","TRÊS MARIAS",561.37
"1/13/1999 ","TRÊS MARIAS",561.42
"1/14/1999 ","TRÊS MARIAS",561.46
"1/15/1999 ","TRÊS MARIAS",561.5
"1/16/1999 ","TRÊS MARIAS",561.51
"1/17/1999 ","TRÊS MARIAS",561.52
"1/18/1999 ","TRÊS MARIAS",561.53
"1/19/1999 ","TRÊS MARIAS",561.53
"1/20/1999 ","TRÊS MARIAS",561.53
"1/21/1999 ","TRÊS MARIAS",561.55
"1/22/1999 ","TRÊS MARIAS",561.52
"1/23/1999 ","TRÊS MARIAS",561.5
"1/24/1999 ","TRÊS MARIAS",561.49
"1/25/1999 ","TRÊS MARIAS",561.46
"1/26/1999 ","TRÊS MARIAS",561.45
"1/27/1999 ","TRÊS MARIAS",561.43
"1/28/1999 ","TRÊS MARIAS",561.43
"1/29/1999 ","TRÊS MARIAS",561.41
"1/30/1999 ","TRÊS MARIAS",561.45
"1/31/1999 ","TRÊS MARIAS",561.47
"2/1/1999 ","TRÊS MARIAS",561.5
"2/2/1999 ","TRÊS MARIAS",561.5
"2/3/1999 ","TRÊS MARIAS",561.52
"2/4/1999 ","TRÊS MARIAS",561.54
"2/5/1999 ","TRÊS MARIAS",561.54
"2/6/1999 ","TRÊS MARIAS",561.54
"2/7/1999 ","TRÊS MARIAS",561.52
"2/8/1999 ","TRÊS MARIAS",561.5
"2/9/1999 ","TRÊS MARIAS",561.48
"2/10/1999 ","TRÊS MARIAS",561.46
"2/11/1999 ","TRÊS MARIAS",561.5
