"Data","Reservatório","Vazao"
1999-01-01,"TRÊS MARIAS",854
1999-01-02,"TRÊS MARIAS",1128
1999-01-03,"TRÊS MARIAS",1021
1999-01-04,"TRÊS MARIAS",1307
1999-01-05,"TRÊS MARIAS",1481
1999-01-06,"TRÊS MARIAS",1555
1999-01-07,"TRÊS MARIAS",1323
1999-01-08,"TRÊS MARIAS",1322
1999-01-09,"TRÊS MARIAS",1259
1999-01-10,"TRÊS MARIAS",1137
1999-01-11,"TRÊS MARIAS",947
1999-01-12,"TRÊS MARIAS",911
1999-01-13,"TRÊS MARIAS",877
1999-01-14,"TRÊS MARIAS",835
1999-01-15,"TRÊS MARIAS",831
1999-01-16,"TRÊS MARIAS",640
1999-01-17,"TRÊS MARIAS",629
1999-01-18,"TRÊS MARIAS",636
1999-01-19,"TRÊS MARIAS",566
1999-01-20,"TRÊS MARIAS",573
1999-01-21,"TRÊS MARIAS",700
1999-01-22,"TRÊS MARIAS",380
1999-01-23,"TRÊS MARIAS",436
1999-01-24,"TRÊS MARIAS",514
1999-01-25,"TRÊS MARIAS",396
1999-01-26,"TRÊS MARIAS",525
1999-01-27,"TRÊS MARIAS",444
1999-01-28,"TRÊS MARIAS",547
1999-01-29,"TRÊS MARIAS",437
1999-01-30,"TRÊS MARIAS",827
1999-01-31,"TRÊS MARIAS",702
1999-02-01,"TRÊS MARIAS",789
1999-02-02,"TRÊS MARIAS",615
1999-02-03,"TRÊS MARIAS",704
1999-02-04,"TRÊS MARIAS",666
1999-02-05,"TRÊS MARIAS",570
1999-02-06,"TRÊS MARIAS",568
1999-02-07,"TRÊS MARIAS",432
1999-02-08,"TRÊS MARIAS",434
1999-02-09,"TRÊS MARIAS",395
1999-02-10,"TRÊS MARIAS",370
1999-02-11,"TRÊS MARIAS",763
1999-02-12,"TRÊS MARIAS",270
1999-02-13,"TRÊS MARIAS",543
1999-02-14,"TRÊS MARIAS",406
1999-02-15,"TRÊS MARIAS",483
1999-02-16,"TRÊS MARIAS",399
1999-02-17,"TRÊS MARIAS",396
1999-02-18,"TRÊS MARIAS",621
1999-02-19,"TRÊS MARIAS",458
1999-02-20,"TRÊS MARIAS",450
1999-02-21,"TRÊS MARIAS",296
1999-02-22,"TRÊS MARIAS",625
1999-02-23,"TRÊS MARIAS",625
1999-02-24,"TRÊS MARIAS",678
1999-02-25,"TRÊS MARIAS",578
1999-02-26,"TRÊS MARIAS",773
1999-02-27,"TRÊS MARIAS",960
1999-02-28,"TRÊS MARIAS",1560
1999-03-01,"TRÊS MARIAS",3062
1999-03-02,"TRÊS MARIAS",2575
1999-03-03,"TRÊS MARIAS",1776
1999-03-04,"TRÊS MARIAS",2005
1999-03-05,"TRÊS MARIAS",1948
1999-03-06,"TRÊS MARIAS",1393
1999-03-07,"TRÊS MARIAS",2502
1999-03-08,"TRÊS MARIAS",3229
1999-03-09,"TRÊS MARIAS",2408
1999-03-10,"TRÊS MARIAS",2467
1999-03-11,"TRÊS MARIAS",2298
1999-03-12,"TRÊS MARIAS",1948
1999-03-13,"TRÊS MARIAS",2319
1999-03-14,"TRÊS MARIAS",1756
1999-03-15,"TRÊS MARIAS",1779
1999-03-16,"TRÊS MARIAS",1522
1999-03-17,"TRÊS MARIAS",1979
1999-03-18,"TRÊS MARIAS",1267
1999-03-19,"TRÊS MARIAS",1011
1999-03-20,"TRÊS MARIAS",1149
1999-03-21,"TRÊS MARIAS",1068
1999-03-22,"TRÊS MARIAS",777
1999-03-23,"TRÊS MARIAS",974
1999-03-24,"TRÊS MARIAS",808
1999-03-25,"TRÊS MARIAS",1017
1999-03-26,"TRÊS MARIAS",915
1999-03-27,"TRÊS MARIAS",1055
1999-03-28,"TRÊS MARIAS",835
1999-03-29,"TRÊS MARIAS",982
1999-03-30,"TRÊS MARIAS",812
1999-03-31,"TRÊS MARIAS",691
1999-04-01,"TRÊS MARIAS",822
1999-04-02,"TRÊS MARIAS",548
1999-04-03,"TRÊS MARIAS",703
1999-04-04,"TRÊS MARIAS",482
1999-04-05,"TRÊS MARIAS",717
1999-04-06,"TRÊS MARIAS",557
1999-04-07,"TRÊS MARIAS",550
1999-04-08,"TRÊS MARIAS",588
1999-04-09,"TRÊS MARIAS",506
1999-04-10,"TRÊS MARIAS",585
1999-04-11,"TRÊS MARIAS",367
1999-04-12,"TRÊS MARIAS",565
1999-04-13,"TRÊS MARIAS",468
1999-04-14,"TRÊS MARIAS",459
1999-04-15,"TRÊS MARIAS",494
1999-04-16,"TRÊS MARIAS",495
1999-04-17,"TRÊS MARIAS",567
1999-04-18,"TRÊS MARIAS",525
1999-04-19,"TRÊS MARIAS",483
1999-04-20,"TRÊS MARIAS",504
1999-04-21,"TRÊS MARIAS",531
1999-04-22,"TRÊS MARIAS",594
1999-04-23,"TRÊS MARIAS",463
1999-04-24,"TRÊS MARIAS",552
1999-04-25,"TRÊS MARIAS",334
1999-04-26,"TRÊS MARIAS",444
1999-04-27,"TRÊS MARIAS",525
1999-04-28,"TRÊS MARIAS",445
1999-04-29,"TRÊS MARIAS",372
1999-04-30,"TRÊS MARIAS",450
1999-05-01,"TRÊS MARIAS",387
1999-05-02,"TRÊS MARIAS",385
1999-05-03,"TRÊS MARIAS",367
1999-05-04,"TRÊS MARIAS",445
1999-05-05,"TRÊS MARIAS",372
1999-05-06,"TRÊS MARIAS",376
1999-05-07,"TRÊS MARIAS",362
1999-05-08,"TRÊS MARIAS",462
1999-05-09,"TRÊS MARIAS",388
1999-05-10,"TRÊS MARIAS",456
1999-05-11,"TRÊS MARIAS",327
1999-05-12,"TRÊS MARIAS",331
1999-05-13,"TRÊS MARIAS",464
1999-05-14,"TRÊS MARIAS",479
1999-05-15,"TRÊS MARIAS",478
1999-05-16,"TRÊS MARIAS",332
1999-05-17,"TRÊS MARIAS",330
1999-05-18,"TRÊS MARIAS",335
1999-05-19,"TRÊS MARIAS",270
1999-05-20,"TRÊS MARIAS",551
1999-05-21,"TRÊS MARIAS",308
1999-05-22,"TRÊS MARIAS",334
1999-05-23,"TRÊS MARIAS",321
1999-05-24,"TRÊS MARIAS",403
1999-05-25,"TRÊS MARIAS",262
1999-05-26,"TRÊS MARIAS",330
1999-05-27,"TRÊS MARIAS",415
1999-05-28,"TRÊS MARIAS",329
1999-05-29,"TRÊS MARIAS",252
1999-05-30,"TRÊS MARIAS",547
1999-05-31,"TRÊS MARIAS",104
1999-06-01,"TRÊS MARIAS",278
1999-06-02,"TRÊS MARIAS",205
1999-06-03,"TRÊS MARIAS",227
1999-06-04,"TRÊS MARIAS",205
1999-06-05,"TRÊS MARIAS",202
1999-06-06,"TRÊS MARIAS",199
1999-06-07,"TRÊS MARIAS",244
1999-06-08,"TRÊS MARIAS",218
1999-06-09,"TRÊS MARIAS",194
1999-06-10,"TRÊS MARIAS",198
1999-06-11,"TRÊS MARIAS",202
1999-06-12,"TRÊS MARIAS",199
1999-06-13,"TRÊS MARIAS",216
1999-06-14,"TRÊS MARIAS",205
1999-06-15,"TRÊS MARIAS",193
1999-06-16,"TRÊS MARIAS",233
1999-06-17,"TRÊS MARIAS",240
1999-06-18,"TRÊS MARIAS",226
1999-06-19,"TRÊS MARIAS",195
1999-06-20,"TRÊS MARIAS",247
